TP,TN,FP,FN,threshold,accuracy,precision,recall,F1
73,58,43,6,0.1,0.7277777777777777,0.6293103448275862,0.9240506329113924,0.7487179487179487
67,73,28,12,0.2,0.7777777777777778,0.7052631578947368,0.8481012658227848,0.7701149425287356
60,84,17,19,0.3,0.8,0.7792207792207793,0.759493670886076,0.7692307692307693
53,86,15,26,0.4,0.7722222222222223,0.7794117647058824,0.6708860759493671,0.7210884353741497
50,89,12,29,0.5,0.7722222222222223,0.8064516129032258,0.6329113924050633,0.7092198581560284
48,94,7,31,0.6,0.7888888888888889,0.8727272727272727,0.6075949367088608,0.7164179104477612
43,97,4,36,0.7,0.7777777777777778,0.9148936170212766,0.5443037974683544,0.6825396825396824
35,98,3,44,0.8,0.7388888888888889,0.9210526315789473,0.4430379746835443,0.5982905982905983
22,98,3,57,0.9,0.6666666666666666,0.88,0.27848101265822783,0.423076923076923
